Epoch	f-f*	Time
1	0.37958754	2.8009
1	1.80370882	5.6403
1	6.07655185	8.5042
1	17.22199697	11.2389
1	7.22360316	14.1445
1	10.16220859	17.0727
1	5.81038051	19.9503
1	7.44390705	22.7869
1	4.93851179	25.6338
1	5.92293478	28.6583
1	4.09502555	31.4930
1	4.75030645	34.4741
1	3.53692593	37.4266
1	3.97125161	40.3023
1	3.12411691	43.1752
1	3.36078348	46.1006
1	2.72246296	48.8969
1	2.89232146	51.7060
1	2.41174164	54.5518
1	2.54247748	57.4291
1	2.16582394	60.3174
1	2.25094204	63.0229
1	1.96047078	65.8451
1	2.00931878	68.7248
1	1.78125418	71.5671
1	1.82626857	74.4332
1	1.62992099	77.4590
1	1.66065321	80.5424
1	1.49580891	83.5382
1	1.52455505	86.3502
1	1.37576382	89.2957
1	1.39418190	92.1873
1	1.27839222	94.9917
1	1.28487866	97.8413
1	1.18832245	100.7794
1	1.19056593	103.5457
1	1.10708861	106.4754
1	1.08924630	109.5665
1	1.03437713	112.4640
1	1.00827897	115.3101
1	0.97152834	118.1205
1	0.93610778	121.0810
1	0.91024598	123.9905
1	0.86940899	126.9378
1	0.85942627	129.9417
1	0.81023885	132.7158
1	0.79720624	135.5804
1	0.74752035	138.4775
1	0.73205033	141.3563
1	0.64912803	144.3020
1	0.64345173	147.1578
1	0.49054913	149.9396
1	0.41582538	152.8661
1	0.17825836	155.6966
1	0.10040514	158.5899
1	0.03135842	161.5009
1	0.01849241	164.3366
1	0.01241122	167.1705
1	0.00852980	170.2043
1	0.00720425	173.3045
1	0.00514191	176.2307
1	0.00508923	179.2174
1	0.00490363	182.1450
1	0.00576230	184.9297
1	0.00531008	187.7831
1	0.00418751	190.6824
1	0.00336387	193.5896
1	0.00344642	196.3981
1	0.00782873	199.2618
1	0.00345097	202.1303
1	0.00313069	205.1308
1	0.00350919	208.0494
1	0.00226545	211.0168
1	0.00240901	213.9523
1	0.00271857	216.9049
1	0.00259061	219.6970
1	0.00230156	222.6224
1	0.00224208	225.4940
1	0.00271060	228.4369
1	0.00211175	231.3960
1	0.00223056	234.2757
1	0.00286945	237.5593
1	0.00214431	240.4461
1	0.00212801	243.2932
1	0.00147945	246.6122
1	0.00217365	249.7084
1	0.00237739	252.6341
1	0.00267528	255.6055
1	0.00171231	258.6175
1	0.00215086	261.5492
1	0.00191666	264.4294
1	0.00217418	267.3582
1	0.00158677	270.6112
1	0.00144400	273.4997
1	0.00195649	276.4279
1	0.00123821	279.3570
1	0.00190863	282.1593
1	0.00144928	285.0650
1	0.00192131	287.9704
1	0.00147102	290.8344
1	0.00181670	293.7095
1	0.00162358	296.6215
1	0.00136005	299.5344
1	0.00128473	303.0392
1	0.00124653	306.4734
1	0.00151540	309.2698
1	0.00170402	312.0801
1	0.00090480	314.9640
1	0.00127960	317.8991
1	0.00201235	320.8873
1	0.00136889	323.8418
1	0.00240198	326.6902
1	0.00118055	329.5636
1	0.00142782	332.4853
1	0.00098064	335.5733
1	0.00092516	338.5374
1	0.00105907	341.4982
1	0.00133515	344.3259
1	0.00150337	347.1989
2	0.00121927	350.2096
2	0.00083083	353.1979
2	0.00098542	356.0561
2	0.00124564	359.0273
2	0.00092788	361.9012
2	0.00092640	365.0498
