Epoch	f-f*	Time
2	1.00136688	5.0036
3	1.54122008	10.3692
4	1.35211118	15.8205
4	0.50950296	18.7961
5	0.74661505	24.0600
5	0.66898139	26.9415
5	0.54233040	29.8144
5	0.47861001	32.7895
6	0.31406839	38.1723
6	0.12849656	40.9862
6	0.07569661	43.8475
6	0.07401045	46.7094
6	0.06387981	49.6640
6	0.05654432	52.6320
6	0.04873358	55.4438
6	0.04372087	58.3597
7	0.03014246	63.7362
7	0.02376902	66.6933
7	0.02003378	69.7043
7	0.01630975	72.7343
7	0.01618471	75.7905
7	0.01384836	78.8596
7	0.01118296	81.7248
7	0.01005253	84.5940
7	0.00904846	87.4149
7	0.00827715	90.2523
7	0.00748142	93.0002
7	0.00705554	95.8653
7	0.00671858	98.7019
7	0.00629456	101.7565
7	0.00579083	104.6248
7	0.00538416	107.4211
8	0.00478267	113.0572
8	0.00433019	115.8063
8	0.00394114	118.5574
8	0.00360154	121.3681
8	0.00330244	124.1368
8	0.00303600	127.1319
8	0.00279942	129.9182
8	0.00258681	132.6883
8	0.00239813	135.6525
8	0.00222833	138.4422
8	0.00207253	141.1644
8	0.00193234	143.9543
8	0.00180409	146.7461
8	0.00168889	149.5589
8	0.00158435	152.3134
8	0.00148724	155.0683
8	0.00139770	157.9219
8	0.00131682	160.8165
8	0.00124202	163.6288
8	0.00117379	166.4797
8	0.00110936	169.5522
8	0.00105285	172.4044
8	0.00099802	175.2511
8	0.00094572	178.0674
8	0.00089814	180.9749
8	0.00085265	183.7783
8	0.00081130	186.7569
8	0.00077307	189.4922
8	0.00073739	192.3240
8	0.00070264	195.1624
8	0.00067117	198.0269
8	0.00064164	201.0230
9	0.00061193	206.4369
9	0.00058436	209.2518
9	0.00055851	212.0936
9	0.00053419	214.8876
9	0.00051128	217.7404
9	0.00048968	220.4171
9	0.00046928	223.1942
9	0.00045001	226.0313
9	0.00043180	228.9779
9	0.00041456	232.1136
9	0.00039822	234.9751
9	0.00038275	237.8037
9	0.00036807	240.6766
9	0.00035413	243.6189
9	0.00034090	246.4770
9	0.00032831	249.3195
9	0.00031635	251.9576
9	0.00030496	254.9501
9	0.00029411	257.8115
9	0.00028378	260.6651
9	0.00027393	263.4253
