Epoch	f-f*	Time
0	0.03884745	4.0260
1	0.02198297	8.6586
2	0.01228866	13.0469
3	0.00683946	14.3380
4	0.00308910	18.6101
5	0.00082634	19.8404
6	0.00050395	21.1011
7	0.00039500	22.3826
8	0.00019316	26.9007
9	0.00017594	28.1491
10	0.00009497	29.4334
11	0.00012845	30.7506
12	0.00003497	31.9879
13	0.00014418	33.2594
14	0.00002042	34.5176
15	0.00004759	35.8429
16	0.00051250	40.3233
17	0.00000767	41.6760
18	0.00005240	42.9687
19	0.00000790	44.2437
20	0.00009306	45.5972
21	0.00000687	46.8375
22	0.00000200	48.1153
23	0.00000946	49.3359
24	0.00005466	50.6434
25	0.00000123	51.9145
26	0.00000140	53.2620
27	0.00027398	54.4971
28	0.00020544	55.7801
29	0.00001707	56.9802
30	0.00023644	58.2786
31	0.00000619	59.5282
32	0.00012034	64.2118
33	0.00000092	65.5927
34	0.00000424	66.9029
35	0.00006970	68.3079
36	0.00000435	69.6944
37	0.00000046	70.9863
38	0.00001030	72.4475
39	0.00001469	73.7408
40	0.00000002	74.5124
41	0.00000002	75.0310
42	0.00000002	75.5790
43	0.00000002	76.1074
44	0.00000002	77.0964
45	0.00005367	78.3965
46	0.00006728	79.6371
47	0.00009329	80.9466
48	0.00000001	81.6709
49	0.00000001	82.2462
