Epoch	f-f*	Time
0	0.05005973	1.9370
1	0.03188315	3.0192
2	0.02373903	5.1098
3	0.01823946	6.3606
4	0.01418766	7.4828
5	0.01175536	8.6881
6	0.00970817	10.0469
7	0.00829852	11.1443
8	0.00717720	12.2426
9	0.00638689	13.3310
10	0.00564661	14.6216
11	0.00514019	16.0690
12	0.00486759	17.1944
13	0.00408293	18.4266
14	0.00444748	20.0377
15	0.00351144	21.2896
16	0.00326277	22.4125
17	0.00298583	23.6590
18	0.00287554	24.9504
19	0.00265093	26.0642
20	0.00254967	27.1316
21	0.00252658	28.9873
22	0.00266449	30.0627
23	0.00270151	31.1855
24	0.00195926	33.4531
25	0.00255033	34.8566
26	0.00189584	35.9377
27	0.00174711	37.2524
28	0.00186783	38.4069
29	0.00308863	39.5497
30	0.00149747	40.6200
31	0.00176684	41.8085
32	0.00181084	42.9449
33	0.00130843	44.0511
34	0.00185594	45.1821
35	0.00121393	46.3095
36	0.00116827	47.4231
37	0.00128661	48.5365
38	0.00166255	49.6744
39	0.00119022	50.8464
40	0.00104948	51.9611
41	0.00172348	53.1036
42	0.00114446	54.2234
43	0.00115695	55.3768
44	0.00123467	56.5264
45	0.00095787	57.5990
46	0.00083305	58.7243
47	0.00088885	59.8925
48	0.00079820	61.0616
49	0.00086879	62.1394
