Iter	f-f*	Time
0	0.66822104	0.2324
1	0.29654757	1.0280
2	0.17526213	2.0924
3	0.12246341	2.8015
4	0.10011848	3.5292
5	0.09411085	4.1847
6	0.09411085	4.4389
7	0.05248984	5.1421
8	0.03515769	6.0076
9	0.02945169	6.6555
10	0.02832705	7.2637
11	0.02832705	7.7994
12	0.01175626	8.8474
13	0.00651499	9.4844
14	0.00591273	10.4017
15	0.00587627	11.0921
16	0.00587627	11.3173
17	0.00230029	11.9082
18	0.00047492	12.5720
19	0.00070050	13.4293
20	0.00083742	14.0588
21	0.00086050	14.7879
22	0.00086050	15.0780
23	0.00028987	16.0187
24	0.00006365	16.6541
25	0.00008537	17.3872
26	0.00009636	18.4438
27	0.00009790	19.2785
28	0.00009790	19.5207
29	0.00001729	20.2598
30	0.00001102	21.7708
31	0.00000987	22.3738
32	0.00000987	22.5953
33	0.00000458	23.4521
34	0.00000051	24.2540
35	0.00000076	24.8972
36	0.00000094	25.7383
37	0.00000100	27.0049
38	0.00000100	27.2271
39	0.00000044	27.9342
40	0.00000007	28.8084
41	0.00000009	29.4177
42	0.00000010	30.0735
43	0.00000010	30.2904
44	0.00000004	31.0323
45	0.00000001	31.6564
46	0.00000001	32.2335
47	0.00000001	32.8245
48	0.00000001	33.1488
49	0.00000001	33.4081
50	0.00000002	33.9864
51	0.00000004	34.5521
52	0.00000008	35.1739
53	0.00000016	35.8211
54	0.00000032	36.4186
55	0.00000063	36.9715
56	0.00000126	37.6098
57	0.00000253	39.4620
58	0.00000507	40.3855
59	0.00001017	41.7518
60	0.00002047	42.5710
61	0.00004148	43.2634
62	0.00008504	44.0458
63	0.00017819	44.7448
64	0.00038743	45.4283
65	0.00089445	46.2836
66	0.00226804	47.2749
67	0.00666267	48.0134
68	0.02551674	48.9201
69	0.41006317	49.9126
70	0.10339583	50.6365
71	0.06519470	51.5803
72	0.11499628	52.5968
73	0.09895191	53.1724
74	0.09302420	53.9079
75	0.09302420	54.1509
76	0.04592801	54.8816
77	0.03022154	55.4878
78	0.02806995	56.0965
79	0.02806995	56.6065
80	0.00915816	57.3456
81	0.00572640	57.9995
82	0.00590055	58.8055
83	0.00587191	59.5606
84	0.00587191	59.7935
85	0.00163351	60.4610
86	0.00067164	61.0218
87	0.00082260	61.9046
88	0.00086024	62.4743
89	0.00086109	63.1382
90	0.00086094	63.9687
91	0.00086094	64.2419
92	0.00017915	64.7693
93	0.00010844	65.6237
94	0.00009670	66.1924
95	0.00009793	66.9026
96	0.00009793	67.0985
97	0.00001161	67.6265
98	0.00000970	68.1967
99	0.00000997	68.7572
100	0.00000997	69.2895
101	0.00000452	69.7857
102	0.00000056	70.4557
103	0.00000081	71.1039
104	0.00000096	71.7766
105	0.00000100	72.4919
106	0.00000100	72.7600
107	0.00000044	74.3749
108	0.00000007	75.0878
109	0.00000009	75.7907
110	0.00000010	76.4926
111	0.00000010	76.7974
112	0.00000004	77.3900
113	0.00000001	77.8890
114	0.00000001	78.4755
115	0.00000001	79.0358
116	0.00000001	79.2873
