Iter	f-f*	Time
0	9.89563201	8.6091
1	0.83289320	10.2246
2	0.32312662	12.0194
3	0.16222868	13.7858
4	0.08767745	15.5724
5	0.07604593	17.3534
6	0.07294488	19.0944
7	0.09306177	20.8040
8	0.11630139	22.6218
9	0.11571189	24.2909
10	0.09786483	26.2268
11	0.10741482	27.9597
12	0.11461134	29.7612
13	0.10916776	31.5256
14	0.10721881	40.3445
15	0.03974266	42.1543
16	0.02625178	43.8937
17	0.01829957	45.6068
18	0.01552142	54.0560
19	0.00616853	55.8494
20	0.00393145	57.8414
21	0.00258520	59.5733
22	0.00211545	61.4322
23	0.00197044	70.3442
24	0.00074485	72.0794
25	0.00045753	73.8712
26	0.00029914	75.6553
27	0.00025562	84.7569
28	0.00007329	86.4838
29	0.00003848	88.2439
30	0.00002440	90.2737
31	0.00002239	99.5283
32	0.00000292	101.2452
33	0.00000124	103.0230
