Iter	f-f*	Time
0	9.89563201	1673707813.9433
1	6.68734601	0.1642
2	1.25745465	0.3084
3	0.65350129	0.4676
4	0.61613490	0.6193
5	0.58869479	0.7822
6	0.56702828	0.9302
7	0.54872807	1.0898
8	0.53298911	1.2445
9	0.51912092	1.3957
10	0.50680633	1.5440
11	0.49578251	1.6960
12	0.48585029	1.8444
13	0.47687184	2.1079
14	0.46869543	2.2676
15	0.46122130	2.4308
16	0.45433218	2.6221
17	0.45093442	2.7624
18	0.44160345	2.9008
19	0.43405218	3.0548
20	0.42764242	3.1980
21	0.42203796	3.3342
22	0.41840634	3.4709
23	0.41093383	3.6162
24	0.40515792	3.9164
25	0.40037420	4.0614
26	0.39632932	4.1910
27	0.39033278	4.3319
28	0.38578624	4.4750
29	0.38245659	4.6166
30	0.37674546	4.7838
31	0.37269808	4.9507
32	0.36907052	5.1014
33	0.36435197	5.2389
34	0.36249328	5.3833
35	0.35671897	5.6148
36	0.35315614	5.7582
37	0.34969928	5.8957
38	0.34593702	6.0449
39	0.34300903	6.1839
40	0.33914159	6.3285
41	0.33648987	6.4622
42	0.33270696	6.5932
43	0.33009569	6.7263
44	0.32660553	6.8618
45	0.32388544	7.0071
46	0.32083133	7.1377
47	0.31796194	7.2852
48	0.31691740	7.5547
49	0.31237030	7.7063
50	0.31041822	7.8413
51	0.30718823	7.9793
52	0.30471154	8.1109
53	0.30364827	8.2363
54	0.29962902	8.3663
55	0.29748784	8.5188
56	0.29509102	8.6700
57	0.29205571	8.8165
58	0.28843774	8.9682
59	0.28631765	9.1070
60	0.28495233	9.2434
61	0.28206542	9.4656
62	0.28006448	9.6258
63	0.27622899	9.7941
64	0.27537261	9.9610
65	0.27072381	10.1537
66	0.26894203	10.2943
67	0.26758959	10.4300
68	0.26536044	10.6200
69	0.26285056	10.7620
70	0.25676774	10.9680
71	0.25590085	11.1377
72	0.25221790	11.4866
73	0.25002292	11.7107
74	0.24794901	11.9337
75	0.24570931	12.0970
76	0.23478709	12.2845
77	0.23326863	12.5015
78	0.23250088	12.7057
79	0.22995365	12.8570
80	0.22464301	13.0056
81	0.21928141	13.1511
82	0.21719857	13.3496
83	0.20164417	13.4959
84	0.18345002	13.6079
85	0.16200514	13.7465
86	0.15562885	13.8945
87	0.15338283	14.0377
88	0.15245483	14.1738
89	0.15223472	14.3068
90	0.15122106	14.4393
91	0.15064524	14.5839
92	0.15000407	14.7205
93	0.14942266	14.8708
94	0.14879756	15.0187
95	0.14822005	15.1925
96	0.14760049	15.3232
97	0.14703700	15.4457
98	0.14671630	15.5717
99	0.14533979	15.7146
100	0.14474653	15.9446
101	0.14416526	16.0862
102	0.14361849	16.2123
103	0.14320236	16.3449
104	0.14196826	16.4857
105	0.14143701	16.6388
106	0.14092047	16.7842
107	0.13980683	16.9415
108	0.13952316	17.0957
109	0.13870999	17.2386
110	0.13826619	17.4063
111	0.13765635	17.6764
112	0.13744655	17.8267
113	0.13613218	17.9701
114	0.13588361	18.1084
115	0.13507022	18.2392
116	0.13461959	18.4797
117	0.13407213	18.6233
118	0.13357679	18.7488
119	0.13258452	18.9026
120	0.13218698	19.0532
121	0.13160805	19.1979
122	0.13117337	19.3217
123	0.13017237	19.4608
124	0.12976766	19.6198
125	0.12923310	20.0358
126	0.12865776	20.2714
127	0.12783460	20.5598
128	0.12738644	20.7760
129	0.12713412	20.9478
130	0.12642421	21.1362
131	0.12617818	21.3357
132	0.12509685	21.5162
133	0.12469846	21.6839
134	0.12451676	21.8430
135	0.12373110	22.0052
136	0.12350649	22.1444
137	0.12245065	22.2876
138	0.12204261	22.4315
139	0.12178327	22.6086
140	0.12114362	22.7709
141	0.12065492	22.9059
142	0.11990765	23.0479
143	0.11952691	23.1718
144	0.11869601	23.3750
145	0.11837509	23.4986
146	0.11750684	23.6327
147	0.11718628	23.7627
148	0.11633935	23.9162
149	0.11596404	24.0637
150	0.11519381	24.2039
151	0.11472731	24.3240
152	0.11407110	24.4691
153	0.11350242	24.6052
154	0.11297202	24.7411
155	0.11233209	24.8704
156	0.11108148	25.0361
157	0.11080218	25.1893
158	0.11002839	25.3180
159	0.10948283	25.4430
160	0.10900548	25.6726
161	0.10804533	25.8041
162	0.10723499	25.9387
163	0.10684657	26.0647
164	0.10552501	26.1989
165	0.10509332	26.3301
166	0.10457856	26.4688
167	0.10365797	26.5843
168	0.10153886	26.7245
169	0.10115692	26.8617
170	0.10065888	27.0006
171	0.09990840	27.1153
172	0.09525573	27.2499
173	0.09486522	27.3741
174	0.09462280	27.6645
175	0.09439145	27.8019
176	0.09417391	27.9324
177	0.09359621	28.0635
178	0.08889634	28.1711
179	0.08459562	28.2961
180	0.08295087	28.4052
181	0.08076138	28.5412
182	0.08032542	28.6694
183	0.07975351	28.8100
184	0.07928025	28.9520
185	0.07887682	29.0778
186	0.07853038	29.2080
187	0.07822439	29.3332
188	0.07794971	29.4733
189	0.07769725	29.6888
190	0.07746144	29.8218
191	0.07723746	29.9747
192	0.07712520	30.1289
193	0.07681184	30.2711
194	0.07653890	30.3921
195	0.07629302	30.5321
196	0.07606594	30.6616
197	0.07585147	30.7965
198	0.07567278	30.9300
199	0.07538910	31.0680
200	0.07514167	31.1943
