Epoch	f-f*	Time
2	6.80825482	5.3331
3	21.60237999	10.5304
4	16.77288929	15.6158
4	11.05185477	18.3986
5	11.08169094	23.4418
5	7.68083926	26.2451
5	8.03237569	28.9830
5	5.95792319	31.9713
6	6.32647999	36.8725
6	4.76061880	39.7135
6	5.07735411	42.5702
6	3.99693927	45.6116
6	4.19885777	48.4326
6	3.42633415	51.2429
6	3.61930518	54.2430
6	2.92116684	57.1377
7	3.13033859	62.3228
7	2.50967295	65.3417
7	2.76055145	68.1674
7	2.20564437	71.0030
7	2.45083813	73.7803
7	1.97409684	76.5864
7	2.18832341	79.5233
7	1.74165491	82.3944
7	1.98957787	85.2452
7	1.64090967	88.1064
7	1.81595236	90.9001
7	1.50155969	93.7341
7	1.64687572	96.7161
7	1.39345732	99.5631
7	1.50778634	102.4828
7	1.29134772	105.3499
8	1.38219737	110.6196
8	1.20309621	113.5902
8	1.27251627	116.7179
8	1.11910598	119.8191
8	1.17788398	122.8034
8	1.02918213	125.8236
8	1.09401064	129.0690
8	0.95364303	131.8974
8	1.01634282	134.8857
8	0.90476794	137.6915
8	0.94927871	140.4544
8	0.83537688	143.3777
8	0.88444458	146.2199
8	0.79569850	149.4450
8	0.80498567	152.5499
8	0.74791549	155.7583
8	0.75750287	158.6415
8	0.66864362	161.5705
8	0.63631697	164.6554
8	0.43940562	167.5175
8	0.33663582	170.4894
8	0.13334777	173.5374
8	0.05881513	176.5157
8	0.02666626	179.7961
8	0.02278856	183.0544
8	0.01551705	185.8292
8	0.01405115	189.2752
8	0.01308036	192.3980
8	0.01429335	195.3770
8	0.00821655	198.3932
8	0.00685054	201.2344
8	0.00842355	204.2262
9	0.00301295	209.6236
9	0.00145599	212.5263
9	0.00081789	215.4318
9	0.00046902	218.2955
9	0.00031206	221.2169
9	0.00030951	224.3380
