Epoch	f-f*	Time
0	0.04910090	4.5020
1	0.03223642	9.1924
2	0.02254211	13.6215
3	0.01709291	14.8431
4	0.01334255	19.2009
5	0.01075836	20.4774
6	0.00879066	21.8743
7	0.00749374	23.1246
8	0.00634844	27.9537
9	0.00562372	29.2434
10	0.00485559	30.5607
11	0.00430519	31.8336
12	0.00387772	33.1052
13	0.00354642	34.5546
14	0.00321044	35.8117
15	0.00295603	37.0429
16	0.00272313	41.4136
17	0.00252712	42.7412
18	0.00234224	43.9842
19	0.00219286	45.2920
20	0.00206046	46.5784
21	0.00192657	47.8527
22	0.00181213	49.0856
23	0.00171531	50.3576
24	0.00161431	51.6506
25	0.00153210	52.9431
26	0.00145519	54.2238
27	0.00139912	55.5044
28	0.00133200	56.7922
29	0.00125767	58.1705
30	0.00124829	59.4437
31	0.00139302	60.7601
32	0.00109617	65.3807
33	0.00104990	66.8178
34	0.00128796	68.0906
35	0.00096236	69.3326
36	0.00092682	70.5998
37	0.00088584	71.8295
38	0.00085106	73.0832
39	0.00082052	74.2982
40	0.00079330	75.5581
41	0.00076388	76.7784
42	0.00073157	78.0694
43	0.00070552	79.2765
44	0.00068190	80.5218
45	0.00066160	81.7565
46	0.00063675	83.0627
47	0.00068829	84.3345
48	0.00062129	85.6105
49	0.00057846	86.8390
